numero_de_cliente,foto_mes,active_quarter,cliente_vip,internet,cliente_edad,cliente_antiguedad,mrentabilidad,mrentabilidad_annual,mcomisiones,mactivos_margen,mpasivos_margen,cproductos,tcuentas,ccuenta_corriente,mcuenta_corriente_adicional,mcuenta_corriente,ccaja_ahorro,mcaja_ahorro,mcaja_ahorro_adicional,mcaja_ahorro_dolares,cdescubierto_preacordado,mcuentas_saldo,ctarjeta_debito,ctarjeta_debito_transacciones,mautoservicio,ctarjeta_visa,ctarjeta_visa_transacciones,mtarjeta_visa_consumo,ctarjeta_master,ctarjeta_master_transacciones,mtarjeta_master_consumo,cprestamos_personales,mprestamos_personales,cprestamos_prendarios,mprestamos_prendarios,cprestamos_hipotecarios,mprestamos_hipotecarios,cplazo_fijo,mplazo_fijo_dolares,mplazo_fijo_pesos,cinversion1,minversion1_pesos,minversion1_dolares,cinversion2,minversion2,cseguro_vida,cseguro_auto,cseguro_vivienda,cseguro_accidentes_personales,ccaja_seguridad,cpayroll_trx,mpayroll,mpayroll2,cpayroll2_trx,ccuenta_debitos_automaticos,mcuenta_debitos_automaticos,ctarjeta_visa_debitos_automaticos,mttarjeta_visa_debitos_automaticos,ctarjeta_master_debitos_automaticos,mttarjeta_master_debitos_automaticos,cpagodeservicios,mpagodeservicios,cpagomiscuentas,mpagomiscuentas,ccajeros_propios_descuentos,mcajeros_propios_descuentos,ctarjeta_visa_descuentos,mtarjeta_visa_descuentos,ctarjeta_master_descuentos,mtarjeta_master_descuentos,ccomisiones_mantenimiento,mcomisiones_mantenimiento,ccomisiones_otras,mcomisiones_otras,cforex,cforex_buy,mforex_buy,cforex_sell,mforex_sell,ctransferencias_recibidas,mtransferencias_recibidas,ctransferencias_emitidas,mtransferencias_emitidas,cextraccion_autoservicio,mextraccion_autoservicio,ccheques_depositados,mcheques_depositados,ccheques_emitidos,mcheques_emitidos,ccheques_depositados_rechazados,mcheques_depositados_rechazados,ccheques_emitidos_rechazados,mcheques_emitidos_rechazados,tcallcenter,ccallcenter_transacciones,thomebanking,chomebanking_transacciones,ccajas_transacciones,ccajas_consultas,ccajas_depositos,ccajas_extracciones,ccajas_otras,catm_trx,matm,catm_trx_other,matm_other,ctrx_quarter,tmobile_app,cmobile_app_trx,Master_delinquency,Master_status,Master_mfinanciacion_limite,Master_Fvencimiento,Master_Finiciomora,Master_msaldototal,Master_msaldopesos,Master_msaldodolares,Master_mconsumospesos,Master_mconsumosdolares,Master_mlimitecompra,Master_madelantopesos,Master_madelantodolares,Master_fultimo_cierre,Master_mpagado,Master_mpagospesos,Master_mpagosdolares,Master_fechaalta,Master_mconsumototal,Master_cconsumos,Master_cadelantosefectivo,Master_mpagominimo,Visa_delinquency,Visa_status,Visa_mfinanciacion_limite,Visa_Fvencimiento,Visa_Finiciomora,Visa_msaldototal,Visa_msaldopesos,Visa_msaldodolares,Visa_mconsumospesos,Visa_mconsumosdolares,Visa_mlimitecompra,Visa_madelantopesos,Visa_madelantodolares,Visa_fultimo_cierre,Visa_mpagado,Visa_mpagospesos,Visa_mpagosdolares,Visa_fechaalta,Visa_mconsumototal,Visa_cconsumos,Visa_cadelantosefectivo,Visa_mpagominimo,clase_ternaria
621333350,202104,1,0,0,48,193,4980.53,7651.34,3955.64,-1721.05,2594.78,8,1,1,0.0,90969.09,2,42458.31,0.0,118385.32,1,266877.01,1,29,86345.77,2,19,57686.15,1,2,5615.15,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,7021.87,5,25613.15,1,694.41,0,0.0,8,360599.67,0,0.0,0,0.0,0,0.0,1,2328.21,21,3955.64,0,0,0.0,0,0.0,8,224545.97,10,214655.25,0,0.0,1,207728.5,1,12903.0,0,0.0,0,0.0,0,0,1,74,0,0,0,0,0,0,0.0,0,0.0,270,0,1,0,0,253368.0,-790,,5620.76,5620.76,0.0,694.41,0.0,281520.0,0.0,0,2,0.0,-4925.66,0.0,1059,694.41,1,0,2486.76,0,0,253368.0,-2914148,,44926.58,52698.87,0.0,14516.93,99.95,281520.0,0.0,0.0,2,0.0,-13740.92,0.0,1059,14516.93,9,0,9395.73,CONTINUA
621333350,202105,1,0,0,48,194,1640.85,5774.38,2013.36,-1633.88,1316.31,8,1,1,0.0,28716.2,2,40085.36,0.0,119816.35,1,158995.38,1,16,44662.19,2,18,50949.77,1,1,694.41,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,3,10470.49,5,26126.02,1,694.41,0,0.0,9,26074.54,0,0.0,0,0.0,0,0.0,1,2328.21,17,2013.36,0,0,0.0,0,0.0,8,29310.74,13,377675.45,0,0.0,0,0.0,1,12903.0,0,0.0,0,0.0,0,0,1,65,0,0,0,0,0,0,0.0,0,0.0,270,0,1,0,0,253368.0,-759,,695.1,695.1,0.0,694.41,0.0,281520.0,0.0,0,5,0.0,-5620.76,0.0,1090,694.41,1,0,23.46,1,0,253368.0,-2914117,0,34277.1,40207.03,0.0,15235.51,1.75,281520.0,0.0,0.0,5,0.0,-11820.14,0.0,1090,15235.51,5,0,3472.08,CONTINUA
621333350,202106,1,0,0,48,195,4310.08,8575.23,3959.82,-1837.0,2135.6,9,1,1,0.0,0.0,2,119490.19,0.0,121135.66,1,328991.91,1,20,41457.76,2,25,72535.69,1,1,694.41,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,3,10470.49,5,26368.14,1,694.41,0,0.0,11,72883.13,0,0.0,0,0.0,0,0.0,1,2793.86,21,3959.82,0,0,0.0,0,0.0,5,27460.15,8,169954.02,0,0.0,0,0.0,1,12903.0,0,0.0,0,0.0,0,0,1,41,0,0,0,0,0,0,0.0,0,0.0,250,0,1,0,0,253368.0,-729,,695.1,695.1,0.0,694.41,0.0,281520.0,0.0,0,0,0.0,-695.1,0.0,1120,694.41,1,0,23.46,0,0,253368.0,-2914087,,57295.83,67208.0,0.0,15125.22,182.04,281520.0,0.0,0.0,0,0.0,-234.6,0.0,1120,15125.22,17,0,10134.72,CONTINUA
621338158,202101,1,0,0,39,190,800.88,5835.94,471.33,-2333.25,2614.2,6,1,1,0.0,0.0,2,179874.58,0.0,143368.43,1,214277.64,1,30,20111.81,1,14,24319.86,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,2,170345.89,0.0,0,1,4347.13,7,13225.05,0,0.0,0,0.0,1,6342.49,0,0.0,0,0.0,0,0.0,0,0.0,8,471.33,0,0,0.0,0,0.0,1,7038.0,3,35190.0,6,73899.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,3,0,0,0,0,0,6,73899.0,0,0.0,164,0,1,0,0,152020.8,-637,,0.0,0.0,0.0,,,168912.0,,,4,0.0,,,3759,,,,0.0,0,0,126684.0,-1398,,18530.66,24611.71,-2875.24,13447.92,0.0,140760.0,0.0,0.0,4,0.0,-18550.61,0.0,5193,13447.92,8,0,1853.34,CONTINUA
621338158,202102,1,0,0,39,191,-318.92,5659.9,1254.11,-2879.29,1538.25,6,1,1,0.0,0.0,2,91618.45,0.0,147519.04,1,219804.17,1,29,40452.98,1,14,28395.62,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,3,119032.01,0.0,0,1,3049.8,8,13384.32,0,0.0,0,0.0,1,6528.1,0,0.0,0,0.0,0,0.0,0,0.0,12,1254.11,0,0,0.0,0,0.0,3,98532.0,2,67799.4,13,148971.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,2,0,0,0,0,0,11,134895.0,2,14076.0,192,0,1,0,0,152020.8,-609,,0.0,0.0,0.0,,,168912.0,,,-3,0.0,,,3787,,,,0.0,0,0,126684.0,-1370,,14215.95,23835.88,-7160.57,13384.32,0.0,140760.0,0.0,0.0,-3,0.0,-24611.71,0.0,5221,13384.32,8,0,0.0,CONTINUA
621338158,202103,1,0,0,39,192,-913.72,4992.96,1307.5,-3213.89,1320.26,6,1,1,0.0,0.0,2,91449.26,0.0,151067.47,1,284230.2,1,51,152112.55,1,13,28863.36,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,2,145021.23,0.0,0,2,6099.6,3,5879.26,0,0.0,0,0.0,1,6292.34,0,0.0,0,0.0,0,0.0,0,0.0,8,1307.5,0,0,0.0,0,0.0,13,354480.6,4,37008.15,8,187680.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,45,0,0,0,0,0,8,187680.0,0,0.0,236,0,1,0,0,152020.8,-578,,0.0,0.0,0.0,,,168912.0,,,1,0.0,,,3818,,,,0.0,0,0,126684.0,-1339,,18682.63,29209.72,-7295.0,7224.54,0.0,140760.0,0.0,0.0,1,0.0,-23835.88,0.0,5252,7224.54,5,0,0.0,CONTINUA
621338158,202104,1,0,0,39,193,1317.72,5666.36,2985.55,-2872.87,1451.02,6,1,1,0.0,0.0,2,92074.63,0.0,153647.0,1,194354.21,2,36,61392.77,1,18,49396.07,1,1,3552.71,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,1,152573.79,0.0,0,0,0.0,7,22098.27,0,0.0,0,0.0,1,6307.95,0,0.0,0,0.0,0,0.0,1,2505.95,12,2985.55,0,0,0.0,0,0.0,8,232072.32,2,17008.5,8,266271.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2,1,10,0,0,0,0,0,8,266271.0,0,0.0,246,0,1,0,0,253368.0,-548,,3595.33,3595.33,0.0,0.0,0.0,281520.0,0.0,0,2,0.0,0.0,0.0,3848,0.0,0,0,1818.15,0,0,253368.0,-1309,,36294.69,49988.82,-7415.15,24296.97,0.0,281520.0,0.0,0.0,2,0.0,-29209.72,0.0,5282,24296.97,9,0,0.0,CONTINUA
621338158,202105,1,0,0,39,194,-2315.99,3220.13,-1754.66,-2048.48,1569.94,7,1,1,0.0,0.0,2,100595.16,0.0,155503.92,1,210827.61,2,26,37408.45,1,14,30391.71,1,1,3552.71,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,1,154790.1,0.0,0,1,3102.58,6,9429.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,-2505.95,8,-1754.66,0,0,0.0,0,0.0,3,25806.0,3,44574.0,4,27917.4,0,0.0,0,0.0,0,0.0,0,0.0,1,2,1,4,0,0,0,0,0,4,27917.4,0,0.0,218,0,1,0,0,253368.0,-517,,3595.33,3595.33,0.0,0.0,0.0,281520.0,0.0,0,5,0.0,-3595.33,0.0,3879,0.0,0,0,1818.15,0,0,253368.0,-1278,,19826.39,30753.19,-7496.84,9429.0,0.0,281520.0,0.0,0.0,5,0.0,-49988.82,0.0,5313,9429.0,6,0,0.0,CONTINUA
621338158,202106,1,0,0,40,195,2322.84,5605.39,2637.44,-2954.13,2685.93,7,1,1,0.0,0.0,2,135390.28,0.0,157215.86,1,342345.79,2,24,52269.85,1,13,18696.58,1,2,192053.24,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,4,280694.17,0.0,0,1,3501.4,7,9564.98,0,0.0,0,0.0,1,8451.32,0,0.0,0,0.0,0,0.0,1,-2505.95,10,2637.44,0,0,0.0,0,0.0,2,53958.0,2,31671.0,5,70380.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,3,0,0,0,0,0,5,70380.0,0,0.0,168,0,1,0,0,253368.0,-487,,194357.88,194357.88,0.0,188500.53,0.0,281520.0,0.0,0,0,0.0,-3595.33,0.0,3909,188500.53,1,0,11612.7,0,0,253368.0,-1248,,9656.06,18920.94,-7594.38,10302.79,0.0,281520.0,0.0,0.0,0,0.0,-30753.19,0.0,5343,10302.79,8,0,0.0,CONTINUA
621370541,202101,1,0,0,60,154,17.09,8707.15,489.73,-560.47,157.53,7,1,1,0.0,-618.25,2,8063.09,0.0,30792.97,1,20772.71,2,0,0.0,1,6,11197.12,1,0,0.0,3,50851.5,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,3,858.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,682.47,8,489.73,1,0,0.0,1,234.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,72,1,0,1,1,0,0,0.0,0,0.0,69,0,1,0,0,63342.0,-333,,0.0,0.0,0.0,,,70380.0,,,4,0.0,,,4072,,,,0.0,0,0,177357.6,-1063,,9555.27,11208.33,0.0,5062.19,0.0,197064.0,0.0,0.0,4,0.0,-13160.54,0.0,4072,5062.19,2,0,2076.21,CONTINUA
