probabilidad,ganancia_acumulada,cliente_ordenado
0.0006477471754327934,780000.0,0
-0.004955062220394688,1560000.0,1
0.01587814592978509,2340000.0,2
0.005415187544667729,3120000.0,3
0.014177070115303609,3900000.0,4
-0.0027701502456904626,4680000.0,5
-0.0006168727744979975,5460000.0,6
0.02658659138716522,6240000.0,7
-0.0009302877091471992,7020000.0,8
-0.0021165941291071064,7800000.0,9
0.0010267446044305714,8580000.0,10
0.0015968319547789408,9360000.0,11
0.004047161294117544,10140000.0,12
0.0019798620531705836,10920000.0,13
0.004785892276137264,11700000.0,14
0.013050553162511936,12480000.0,15
0.026898383000183143,12460000.0,16
0.0003400046493658921,12440000.0,17
0.000411559396145141,13220000.0,18
0.058429662911174476,14000000.0,19
0.00413657871553833,14780000.0,20
0.1507594112430674,15560000.0,21
0.0021595249536544773,16340000.0,22
0.0007452016079220101,17120000.0,23
-0.0014533727938531205,17900000.0,24
-0.00045574761221250416,17880000.0,25
0.031123982085050246,18660000.0,26
0.0005884721559730574,19440000.0,27
0.0707750700191972,20220000.0,28
-0.00463692515693277,21000000.0,29
1.0912042867041456e-05,21780000.0,30
0.01603737742861568,21760000.0,31
-0.00556531238797029,22540000.0,32
0.01373135557767271,22520000.0,33
0.006493642622044566,23300000.0,34
-0.0004706128547018121,24080000.0,35
0.020722792841982328,24060000.0,36
-0.0005519420727775387,24840000.0,37
0.00035643043428443825,25620000.0,38
-0.0011700762556749289,26400000.0,39
0.011753692494094258,27180000.0,40
1.2987261338387294e-05,27160000.0,41
0.005319152937838996,27940000.0,42
-0.00021565488445024565,28720000.0,43
-0.0009396915195442504,29500000.0,44
0.00023509692888673073,29480000.0,45
0.018274621240167058,30260000.0,46
0.06771882210516518,30240000.0,47
0.030739721615558522,31020000.0,48
-0.002228839186245815,31800000.0,49
-0.005051394329553664,32580000.0,50
-0.0037148602909368713,33360000.0,51
0.0007409673241624095,34140000.0,52
0.03909072808141056,34920000.0,53
0.006853952829999858,35700000.0,54
-0.00029159586757575664,35680000.0,55
0.006138001988199257,36460000.0,56
0.0014923679464316146,37240000.0,57
-0.00044912265312742014,38020000.0,58
-0.002713948402043713,38800000.0,59
0.003411954417822698,38780000.0,60
0.03060946977658164,39560000.0,61
0.012371680988477296,40340000.0,62
0.015773375580809032,41120000.0,63
0.0002558767348907979,41100000.0,64
0.0003403631495207144,41880000.0,65
1.4255916917405995e-05,41860000.0,66
0.0005215734381442354,42640000.0,67
0.028861236864454604,43420000.0,68
-0.00037087973255286273,44200000.0,69
-0.0016751819795546596,44980000.0,70
-0.000682345750278641,44960000.0,71
-0.0005935394244118261,44940000.0,72
0.04424381948096058,45720000.0,73
0.09986174268051395,46500000.0,74
0.014195807700204826,46480000.0,75
0.07949242929998372,47260000.0,76
-0.0008341609155081277,48040000.0,77
-0.0030227125931629414,48820000.0,78
0.009569678742285051,49600000.0,79
0.011233551613086416,50380000.0,80
0.007996817329963619,51160000.0,81
0.03402040789799565,51940000.0,82
0.022490841803289238,52720000.0,83
0.007634273672034814,53500000.0,84
0.0008140448920132187,54280000.0,85
0.01626243658555009,55060000.0,86
0.015689911950787838,55840000.0,87
0.02941997889925391,56620000.0,88
0.019334585322020235,57400000.0,89
0.005559648786952898,57380000.0,90
0.000600482911371823,58160000.0,91
-0.003968104940709541,58140000.0,92
0.024316957755239905,58920000.0,93
0.00860201798028646,58900000.0,94
0.01871460089895087,59680000.0,95
0.012746001573878953,59660000.0,96
-0.0024783208173315813,60440000.0,97
0.0008167223836709595,61220000.0,98
-0.0012126959235424554,61200000.0,99
0.0009742042368063343,61180000.0,100
0.01831277735032553,61960000.0,101
-0.0015732341726340307,61940000.0,102
0.49560443313288344,62720000.0,103
0.003731508405796812,63500000.0,104
0.00337088776314415,63480000.0,105
0.0033115908160731436,64260000.0,106
0.004789095427182064,65040000.0,107
0.001309827438608562,65820000.0,108
0.014970253058533363,66600000.0,109
0.007745899219330576,67380000.0,110
0.001714748541590661,68160000.0,111
-0.0011251100503683615,68140000.0,112
-0.0002494350791628427,68920000.0,113
-0.006899743950906768,69700000.0,114
0.002765060641730574,70480000.0,115
0.0016888246733978553,70460000.0,116
0.2377960680468033,71240000.0,117
-0.00013844031570694787,72020000.0,118
-0.00012329410151717534,72800000.0,119
0.009928994952673022,72780000.0,120
0.8010407613646832,72760000.0,121
-0.0015452732278605906,73540000.0,122
